Prueba, Mejor BB, Mejor LOP, Mejor ILI, Mejor HEAL, Mejor QUI, Mejor AUA, Mejor Rendimiento, Mejor Riesgo, Mejor Aptitud, Peor BB, Peor LOP, Peor ILI, Peor HEAL, Peor QUI, Peor AUA, Peor Rendimiento, Peor Riesgo, Peor Aptitud, Mediana, Desviacion Estandar
0, 0.003400, 0.017972, 0.392710, 0.385024, 0.200627, 0.000268, 0.685819, 0.043671, -0.685819, 0.004372, 0.016388, 0.292606, 0.207646, 0.145117, 0.000692, 0.471148, 0.023329, 33317.420910, -0.577549, 9105.677736
1, 0.014088, 0.096058, 0.397980, 0.281746, 0.198088, 0.012041, 0.676747, 0.044626, -0.676747, 0.014733, 0.092630, 0.300745, 0.074488, 0.198204, 0.012466, 0.474754, 0.030549, 30672.939778, -0.574974, 7851.519590
2, 0.011603, 0.210210, 0.399885, 0.138463, 0.224057, 0.015782, 0.667526, 0.056520, -0.667526, 0.021760, 0.204965, 0.179999, 0.060490, 0.146505, 0.024069, 0.375294, 0.016155, 36220.742080, -0.485509, 8414.432044
3, 0.005319, 0.000791, 0.399837, 0.386776, 0.205723, 0.001553, 0.689720, 0.045236, -0.689720, 0.006151, 0.000205, 0.259231, 0.232669, 0.183579, 0.000643, 0.461521, 0.020371, 31751.668576, -0.561073, 6651.214465
4, 0.060631, 0.048514, 0.382886, 0.373724, 0.088309, 0.045935, 0.656653, 0.037092, -0.656653, 0.056294, 0.046398, 0.246576, 0.124127, 0.087931, 0.044682, 0.393239, 0.017767, 39398.780044, -0.520707, 9836.320249
5, 0.000747, 0.244835, 0.399777, 0.133886, 0.220730, 0.000025, 0.671243, 0.058924, -0.671243, 0.140480, 0.245455, 0.405628, 0.133155, 0.236443, 0.163461, 0.761194, 0.067696, 33024.105024, -0.527209, 7777.927292
6, 0.003716, 0.125591, 0.395387, 0.241385, 0.198304, 0.035617, 0.671476, 0.045985, -0.671476, 0.006890, 0.126296, 0.227608, 0.120682, 0.117906, 0.024762, 0.404037, 0.017325, 37585.076407, -0.513499, 7930.463813
7, 0.000721, 0.224142, 0.397118, 0.210412, 0.150635, 0.016973, 0.670991, 0.052309, -0.670991, 0.082665, 0.260619, 0.297722, 0.065128, 0.000013, 0.059216, 0.474050, 0.046978, 23463.234097, -0.583832, 6188.700038
8, 0.017649, 0.004801, 0.393273, 0.296659, 0.135136, 0.152483, 0.655056, 0.040668, -0.655056, 0.014019, 0.003511, 0.228580, 0.179671, 0.125514, 0.149725, 0.425348, 0.015235, 29897.525219, -0.509576, 8118.516149
9, 0.047401, 0.045140, 0.392678, 0.254063, 0.251012, 0.009705, 0.666526, 0.044258, -0.666526, 0.050684, 0.043349, 0.371790, 0.014859, 0.109337, 0.013724, 0.461975, 0.047805, 39625.309344, -0.545775, 6466.588042
Prueba, Mejor BB, Mejor LOP, Mejor ILI, Mejor HEAL, Mejor QUI, Mejor AUA, Mejor Rendimiento, Mejor Riesgo, Mejor Aptitud, Peor BB, Peor LOP, Peor ILI, Peor HEAL, Peor QUI, Peor AUA, Peor Rendimiento, Peor Riesgo, Peor Aptitud, Mediana, Desviacion Estandar
0, 0.332624, 0.211602, 0.000181, 0.163290, 0.200853, 0.091450, 0.357051, 0.001423, 0.001423, 0.060810, 0.166915, 0.036754, 0.184209, 0.192276, 0.136999, 0.340672, 0.003131, 23136.443153, 0.004750, 6051.970900
1, 0.329530, 0.205475, 0.000464, 0.148552, 0.223836, 0.092142, 0.357553, 0.001410, 0.001410, 0.231605, 0.166326, 0.001875, 0.150071, 0.133949, 0.092237, 0.282376, 0.000896, 29156.168403, 0.003674, 4715.019924
2, 0.311340, 0.198447, 0.001779, 0.173295, 0.193276, 0.121864, 0.359508, 0.001413, 0.001413, 0.317835, 0.225835, 0.097212, 0.263208, 0.201698, 0.200583, 0.540190, 0.006448, 30637.154445, 0.006202, 6751.412620
3, 0.257256, 0.210580, 0.001864, 0.193690, 0.207043, 0.129567, 0.372714, 0.001583, 0.001583, 0.164727, 0.211098, 0.006105, 0.164312, 0.104594, 0.129538, 0.296842, 0.001683, 27278.411465, 0.013672, 5960.940670
4, 0.323877, 0.203746, 0.007747, 0.192689, 0.180320, 0.091620, 0.364874, 0.001550, 0.001550, 0.211394, 0.164348, 0.007695, 0.192688, 0.180136, 0.089330, 0.325005, 0.001626, 17940.391141, 0.003185, 4466.011132
5, 0.294242, 0.212787, 0.000210, 0.203195, 0.145648, 0.143917, 0.360200, 0.001635, 0.001635, 0.270083, 0.109052, 0.004480, 0.203659, 0.069127, 0.142787, 0.280763, 0.001583, 27004.768863, 0.010159, 6261.693363
6, 0.295974, 0.244592, 0.000175, 0.143497, 0.239809, 0.075953, 0.366945, 0.001640, 0.001640, 0.167713, 0.228547, 0.001827, 0.141324, 0.170147, 0.075065, 0.302808, 0.001506, 26256.996313, 0.016658, 6392.673206
7, 0.314614, 0.178605, 0.002566, 0.202554, 0.157396, 0.144264, 0.357462, 0.001563, 0.001563, 0.190280, 0.178930, 0.001507, 0.167635, 0.154650, 0.101242, 0.300042, 0.001106, 25571.336465, 0.003438, 4474.295937
8, 0.315412, 0.226637, 0.000828, 0.165485, 0.202250, 0.089388, 0.361692, 0.001481, 0.001481, 0.129291, 0.212653, 0.029141, 0.156681, 0.184996, 0.025115, 0.315287, 0.002452, 29683.611668, 0.011944, 6984.862735
9, 0.282138, 0.222634, 0.008385, 0.167416, 0.212525, 0.106902, 0.371859, 0.001604, 0.001604, 0.226272, 0.171806, 0.006222, 0.167030, 0.096482, 0.105880, 0.283295, 0.001140, 29301.310530, 0.006489, 5744.260303
